iter	RMSE
235	405378.1533
236	404329.5956
237	403237.1162
238	401361.8236
239	401236.1662
240	401113.8696
241	400994.8399
242	399501.6963
243	398125.7737
244	396914.099
245	395579.9561
246	395466.3369
247	395350.431
248	393492.5923
249	393387.5734
250	390793.5764
251	390034.1974
252	389104.9838
253	388997.8145
254	388900.2344
255	387827.7119
256	386119.7099
257	386019.3502
258	384073.1276
259	382838.9929
260	381427.5185
261	380643.2462
262	378737.1152
263	378022.3585
264	377136.2461
265	375379.0715
266	374014.6998
267	372254.3481
268	370636.6978
269	369778.1125
270	368112.3738
271	366583.3873
272	365545.5883
273	364257.9279
274	363303.0187
275	361370.529
276	359977.8137
277	358852.6331
278	357995.8034
279	357567.9812
280	355706.5176
281	354685.1156
282	352598.0511
283	352009.7818
284	351476.7261
285	350229.7453
286	349126.7834
287	348132.2172
288	346519.6283
289	345370.2379
290	344540.5608
291	344242.7257
292	343876.4032
293	343454.1296
294	342037.9848
295	341617.6041
296	340852.8306
297	340458.6495
298	339694.8667
299	339340.4966
300	338791.9866
301	337531.4177
302	336400.9749
303	335959.7808
304	334898.4448
305	334495.2058
306	333022.489
307	332627.6902
308	332370.6744
309	331644.3663
310	331250.9814
311	330518.8216
312	330250.9949
313	329363.6904
314	328700.9189
315	327797.9592
316	327064.4739
317	326305.5046
318	325646.8503
319	325321.5037
320	324227.0339
321	323522.1337
322	322380.3116
323	321311.0846
324	320347.5051
325	319066.8296
326	318466.4677
327	317984.3294
328	317858.9983
329	317813.2965
330	317090.9559
331	316116.384
332	315804.316
333	315241.8612
334	314374.3203
335	313834.0867
336	312989.0525
337	311713.7306
338	311000.4593
339	310156.0802
340	309906.2091
341	309110.8851
342	308324.8057
343	307296.0556
344	307105.9977
345	306981.6428
346	306578.9655
347	305766.479
348	305529.3774
349	304843.1326
350	303861.2287
351	303254.9013
352	302468.2564
353	301827.3631
354	300754.2714
355	300303.2091
356	299818.8282
357	299550.0631
358	298875.1548
359	298564.5956
360	298228.4209
361	298002.6685
362	296988.4614
363	295845.2237
364	295614.4278
365	295405.0781
366	294331.8301
367	293559.3144
368	293242.1156
369	292797.1658
370	292558.7249
371	291829.4559
372	291435.913
373	291299.1443
374	291128.9125
375	290895.3306
376	289831.7201
377	289781.9744
378	289704.0543
379	289642.1373
380	289369.8778
381	288527.8606
382	288339.9152
383	288269.247
384	287958.5766
385	287460.5656
386	286691.0247
387	286456.4839
388	285619.9353
389	285593.8325
390	285036.4969
391	284873.0046
392	284299.724
393	284027.2673
394	283299.2427
395	282757.3212
396	282125.3608
397	281507.973
398	280908.1431
399	280244.9196
400	279726.1238
401	279391.7298
402	278885.2253
403	278323.268
404	277753.3968
405	277439.3208
406	276764.2008
407	276175.5165
408	275648.7756
409	274985.6139
410	274330.1627
411	273719.5498
412	273240.4379
413	272585.8898
414	272132.3898
415	271827.9553
416	271034.1084
417	270505.5323
418	269975.282
419	269175.0358
420	268859.4006
421	268303.0049
422	267813.738
423	267375.0156
424	266964.5647
425	266379.1846
426	266149.2474
427	265449.3287
428	265242.7127
429	264770.9207
430	264326.1846
431	264072.9379
432	263690.0344
433	263255.0106
434	263209.1292
435	262684.1646
436	262438.5173
437	261832.0922
438	261345.4879
439	261141.7482
440	260398.3011
441	260200.9641
442	259659.4553
443	259617.5907
444	259076.0855
445	258735.4459
446	257951.5045
447	257602.5822
448	257333.4175
449	257163.774
450	256693.2883
451	255853.351
452	255512.6617
453	255167.8851
454	254810.036
455	254347.5096
456	253950.091
457	253521.9833
458	252720.3801
459	251714.7104
460	251143.3531
461	251106.3464
462	250714.13
463	250276.4072
464	249875.2639
465	249416.6845
466	249001.4974
467	248692.162
468	248153.2714
469	247933.2225
470	247542.6957
471	247175.6364
472	246770.1589
473	246451.7495
474	246164.2604
475	245937.9293
476	245742.63
477	245543.4995
478	244991.237
479	244568.7833
480	244343.4676
481	244070.5797
482	243647.7027
483	243159.7628
484	242882.7045
485	242640.0862
486	242289.6152
487	241948.556
488	241795.2535
489	241362.9378
490	241146.6826
491	240483.232
492	240256.5573
493	240028.4538
494	239529.0021
495	239123.4337
496	239046.2633
497	238684.2629
498	238311.9887
499	238092.664
500	238020.6331
501	237613.5545
502	237303.5835
503	236960.8685
504	236893.5619
505	236827.8836
506	236392.4142
507	236126.7137
508	235935.1699
509	235605.2977
510	235238.3873
511	235003.7164
512	234749.8934
513	234473.8295
514	234160.1076
515	233504.5085
516	233019.0974
517	232674.5859
518	232452.6114
519	232269.797
520	232090.6733
521	231858.5727
522	231502.1142
523	231356.6553
524	230980.4226
525	230924.9707
526	230625.3126
527	230360.7642
528	230189.252
529	229752.3213
530	229540.1931
531	229271.861
532	228963.9766
533	228746.2129
534	228289.8318
535	228114.7314
536	227791.0658
537	227659.5924
538	227129.6189
539	226821.4342
540	226639.0763
541	226592.5555
542	226366.688
543	226126.7209
544	225947.1868
545	225632.7657
546	225314.8544
547	224915.6335
548	224760.7375
549	224419.0486
550	224190.1162
551	224136.7772
552	223740.4544
553	223458.7446
554	223263.2434
555	222933.5714
556	222712.4656
557	222528.8588
558	222166.1114
559	221926.9063
560	221680.2284
561	221319.9786
562	220906.6398
563	220662.2022
564	220618.9156
565	220458.7237
566	220356.5941
567	220173.6458
568	220086.2496
569	219940.2836
570	219737.359
571	219554.564
572	219429.0201
573	219234.0651
574	218969.0708
575	218932.2863
576	218816.5552
577	218498.6323
578	218159.7578
579	218113.2057
580	218068.7801
581	217901.3741
582	217778.1853
583	217446.5429
584	217049.7841
585	217007.0305
586	216859.0702
587	216725.818
588	216468.8726
589	216291.5225
590	215898.8299
591	215864.368
592	215725.6999
593	215495.117
594	215455.7346
595	215119.0897
596	214969.0185
597	214672.1974
598	214509.7692
599	214317.6018
600	214241.8534
601	213932.6893
602	213747.3448
603	213583.624
604	213167.1837
605	213013.1774
606	212979.4049
607	212690.6157
608	212657.9975
609	212522.7041
610	212490.2829
611	212434.3984
612	212202.6339
613	212168.499
614	211892.1578
615	211641.8983
616	211620.2611
617	211372.5135
618	211303.0073
619	210927.2873
620	210676.0429
621	210547.0638
622	210518.3868
623	210413.4131
624	210328.2455
625	210256.1983
626	210228.6571
627	210154.5143
628	210073.4331
629	209929.6719
630	209576.3115
631	209435.7559
632	209409.339
633	209067.9005
634	208974.3475
635	208840.2744
636	208539.5062
637	208425.1087
638	208264.7287
639	208077.9693
640	208062.4808
641	207910.1966
642	207882.3829
643	207768.9513
644	207624.496
645	207495.0265
646	207187.1786
647	206958.6218
648	206628.3371
649	206498.1469
650	206348.8663
651	206222.1078
652	206214.6753
653	206014.3027
654	205988.5751
655	205926.5077
656	205791.4328
657	205599.8197
658	205507.5304
659	205320.69
660	205020.8935
661	204976.8418
662	204915.3332
663	204808.9795
664	204702.5462
665	204485.2161
666	204365.4191
667	204076.461
668	203955.5248
669	203852.1077
670	203722.4283
671	203576.5197
672	203530.193
673	203523.1709
674	203379.4662
675	203283.2711
676	203273.3128
677	203025.9271
678	202883.1334
679	202876.5472
680	202855.5403
681	202849.2821
682	202685.5635
683	202542.178
684	202536.0904
685	202530.1672
686	202335.7944
687	202092.2553
688	201891.4255
689	201877.9816
690	201856.2042
691	201658.5073
692	201537.3791
693	201412.0781
694	201405.115
695	201288.2736
696	201282.9029
697	201094.7094
698	200939.221
699	200760.4558
700	200755.2171
701	200499.4749
702	200456.9525
703	200285.1091
704	200188.0661
705	200079.696
706	200012.8999
707	199953.0092
708	199847.1825
709	199740.1365
710	199585.6042
711	199568.111
712	199463.8823
713	199255.3885
714	199027.4823
715	198785.1055
716	198779.9248
717	198774.8834
718	198511.7186
719	198371.5187
720	198163.2552
721	198158.6296
722	197926.9759
723	197910.0016
724	197787.5632
725	197511.5123
726	197504.2674
727	197360.2871
728	197344.7983
729	197239.6288
730	197045.3402
731	196948.7926
732	196799.6287
733	196624.1984
734	196357.9749
735	196105.9426
736	196060.7429
737	195874.2752
738	195869.8582
739	195861.5404
740	195625.1981
741	195558.7477
742	195553.1097
743	195547.3018
744	195442.9768
745	195436.8189
746	195323.9676
747	195144.5179
748	194978.9533
749	194843.8472
750	194721.2863
751	194664.6476
752	194574.2885
753	194536.0932
754	194463.473
755	194277.7049
756	194130.7879
757	193892.4819
758	193766.6645
759	193740.0337
760	193566.8241
761	193429.2456
762	193303.8561
763	193074.8636
764	193059.1188
765	192963.9689
766	192903.9753
767	192898.1898
768	192889.333
769	192801.508
770	192781.3795
771	192728.5835
772	192667.3446
773	192534.5061
774	192393.2659
775	192296.543
776	192144.5542
777	192018.4692
778	191739.0182
779	191543.5907
780	191443.2487
781	191293.7483
782	191238.8118
783	191056.3539
784	190927.3647
785	190771.7021
786	190603.0023
787	190477.2693
788	190368.2406
789	190265.4579
790	190260.2931
791	190255.1593
792	190115.7825
793	189926.6129
794	189876.3244
795	189794.7653
796	189677.1508
797	189535.0603
798	189360.7398
799	189213.6209
800	189110.8511
801	189103.4743
802	188962.5026
803	188801.5373
804	188646.9667
805	188498.2588
806	188463.2596
807	188393.8424
808	188386.5055
809	188382.214
810	188181.3332
811	188074.0274
812	188069.8383
813	187934.8257
814	187845.5124
815	187701.3054
816	187577.1169
817	187435.6807
818	187315.4352
819	187167.452
820	187042.4579
821	186881.0084
822	186715.3713
823	186605.7494
824	186453.7453
825	186449.43
826	186408.1814
827	186275.1236
828	186138.7375
829	186103.5701
830	185999.5433
831	185907.7733
832	185901.9751
833	185805.6666
834	185801.6587
835	185651.9759
836	185618.8569
837	185460.8398
838	185337.4386
839	185246.133
840	185154.511
841	185053.2606
842	184913.9737
843	184808.7474
844	184696.2726
845	184595.71
846	184531.4189
847	184528.3316
848	184475.2907
849	184342.4486
850	184166.3193
851	184118.2418
852	184004.6076
853	184000.7151
854	183996.9429
855	183817.148
856	183674.8532
857	183568.6781
858	183422.0068
859	183419.0608
860	183322.7963
861	183211.153
862	183050.1402
863	182922.1898
864	182753.3333
865	182662.5525
866	182526.8405
867	182470.117
868	182444.6333
869	182332.2579
870	182329.422
871	182237.6129
872	182126.7912
873	182116.5864
874	182045.2604
875	181978.8427
876	181876.7442
877	181761.3696
878	181680.7301
879	181633.6144
880	181601.2024
881	181597.9302
882	181502.9111
883	181407.576
